p,contrib,C,maxterm
9887,70,121,24
9901,36,55,4
9907,43,73,8
9923,41,73,12
9929,48,87,16
9931,52,95,16
9941,41,71,8
9949,56,95,12
9967,51,91,20
9973,63,107,24
10007,63,115,24
10009,73,133,32
10037,51,85,16
10039,55,95,16
10061,71,125,24
10067,42,79,12
10069,61,101,16
10079,140,233,72
10091,54,91,18
10093,44,81,12
10099,55,105,18
10103,47,83,16
10111,56,95,16
10133,56,93,12
10139,79,139,36
10141,49,91,18
10151,73,129,32
10159,58,103,20
10163,86,153,36
10169,59,103,24
10177,55,95,16
10181,43,75,8
10193,37,65,8
10211,61,101,24
10223,68,119,30
10243,44,77,12
10247,75,133,32
10253,38,67,8
10259,99,173,48
10267,56,93,12
10271,65,111,24
10273,48,77,12
10289,72,133,32
10301,46,83,16
10303,71,125,28
10313,55,99,16
10321,47,81,12
10331,80,139,36
10333,51,89,16
10337,38,67,12
10343,49,85,16
10357,40,69,16
10369,54,95,16
10391,55,99,16
10399,80,137,36
10427,66,117,24
10429,55,97,16
10433,54,91,16
10453,48,83,16
10457,66,111,24
10459,45,81,12
10463,67,123,24
10477,53,87,12
10487,78,129,32
10499,101,177,48
10501,43,75,8
10513,42,73,8
10529,88,153,40
10531,41,67,6
10559,120,197,56
10567,47,81,8
10589,53,97,16
10597,44,77,12
10601,67,119,24
10607,87,149,40
10613,56,93,16
10627,35,59,6
10631,59,101,16
10639,89,151,40
10651,34,63,8
10657,62,105,16
10663,61,105,16
10667,64,113,24
10687,62,101,14
10691,86,149,36
10709,101,177,48
10711,48,85,16
10723,58,107,24
10729,53,89,16
10733,48,81,10
10739,65,111,24
10753,47,75,12
10771,53,91,20
10781,47,83,12
10789,68,115,16
10799,123,211,60
10831,44,75,10
10837,35,59,8
10847,64,111,24
10853,73,125,20
10859,62,111,24
10861,40,67,12
10867,79,129,24
10883,42,71,12
10889,76,131,36
10891,44,75,12
10903,57,97,16
10909,43,79,12
10937,41,67,8
10939,60,103,12
10949,57,99,24
10957,40,71,10
10973,56,97,16
10979,81,145,36
10987,62,105,16
10993,46,81,8
11003,65,113,24
11027,45,77,12
11047,45,77,12
11057,50,89,16
11059,65,113,24
11069,75,129,32
11071,48,81,14
11083,58,97,14
11087,117,205,60
11093,54,95,12
11113,52,91,24
11117,53,87,16
11119,64,113,20
11131,58,99,18
11149,60,111,16
11159,98,169,48
11161,31,53,8
11171,84,141,36
11173,47,85,12
11177,68,119,24
11197,53,95,20
11213,65,115,24
11239,55,97,16
11243,42,75,12
11251,52,89,12
11257,44,71,10
11261,52,85,11
11273,40,71,12
11279,88,151,40
11287,62,105,16
11299,62,103,18
11311,56,101,20
11317,46,81,16
11321,64,115,24
11329,53,87,16
11351,72,125,32
11353,37,67,8
11369,51,91,16
11383,55,99,24
11393,54,99,16
11399,95,167,48
11411,50,87,18
11423,107,183,48
11437,69,123,20
11443,45,77,16
11447,76,133,32
11467,50,83,12
11471,60,111,20
11483,86,137,36
11489,43,81,16
11491,61,101,18
11497,47,77,12
11503,53,95,16
11519,109,195,54
11527,58,101,16
11549,104,179,48
11551,48,85,18
11579,58,107,24
11587,48,81,12
11593,51,87,16
11597,44,79,15
11617,44,75,12
11621,46,85,16
11633,54,95,16
11657,63,109,16
11677,47,79,12
11681,64,115,24
11689,50,91,16
11699,115,191,54
11701,45,77,16
11717,73,127,32
11719,44,81,16
11731,50,83,12
11743,54,101,20
11777,61,103,16
11779,75,139,24
11783,48,81,16
11789,64,111,24
11801,51,89,16
11807,82,141,36
11813,55,97,16
11821,55,89,8
11827,55,87,12
11831,77,135,32
11833,61,101,12
11839,74,127,28
11863,47,89,16
11867,66,113,24
11887,43,75,10
11897,52,93,18
11903,75,125,32
11909,56,95,16
11923,62,109,18
11927,82,139,32
11933,87,155,32
11939,54,95,24
11941,28,49,8
11953,43,71,8
11959,85,139,32
11969,100,179,48
11971,44,75,12
11981,44,75,10
11987,74,131,30
12007,52,89,16
12011,97,167,48
12037,48,83,16
12041,48,89,16
12043,50,83,16
12049,50,89,12
12071,51,93,16
12073,53,91,24
12097,42,73,13
12101,37,67,12
12107,49,77,12
12109,60,97,16
12113,42,75,12
12119,81,143,32
12143,89,155,40
12149,92,161,36
12157,42,75,16
12161,35,57,8
12163,50,85,9
12197,64,107,16
12203,68,115,24
12211,59,95,12
12227,44,75,12
12239,123,211,60
12241,34,61,16
12251,49,85,12
12253,51,97,16
12263,72,133,32
12269,60,103,16
12277,37,67,8
12281,69,115,16
12289,38,63,8
12301,35,57,6
12323,60,109,24
12329,60,107,24
12343,48,81,9
12347,89,155,36
12373,69,123,24
12377,27,47,8
12379,49,85,12
12391,45,81,14
12401,62,111,24
12409,58,101,16
12413,51,87,8
12421,48,75,8
12433,32,51,8
12437,54,93,12
12451,45,79,12
12457,41,65,12
12473,93,161,40
12479,112,195,56
12487,63,105,16
12491,65,109,18
12497,43,73,9
12503,56,99,16
12511,65,111,24
12517,42,77,12
12527,97,167,40
12539,102,177,48
12541,40,71,12
12547,43,73,8
12553,48,83,20
12569,51,91,16
12577,56,95,12
12583,69,119,24
12589,41,71,8
12601,20,33,6
12611,46,79,12
12613,64,109,16
12619,48,81,12
12637,51,87,12
12641,59,101,24
12647,87,149,32
12653,65,113,24
12659,59,107,24
12671,106,187,48
12689,75,131,32
12697,48,85,12
12703,67,117,24
12713,54,97,16
12721,38,55,4
12739,87,153,36
12743,76,129,32
12757,56,91,16
12763,50,89,16
12781,49,87,16
12791,77,131,32
12799,85,149,30
12809,73,125,32
