N,"T(N,5)"
1157,1530
1158,2090
1159,1620
1160,10590
1161,4160
1162,2860
1163,270
1164,4510
1165,1370
1166,3090
1167,1170
1168,4050
1169,1670
1170,20710
1171,250
1172,1470
1173,5340
1174,790
1175,3600
1176,17550
1177,1460
1178,3210
1179,2310
1180,5760
1181,270
1182,2270
1183,3380
1184,5590
1185,4390
1186,770
1187,480
1188,18740
1189,1590
1190,12890
1191,930
1192,2330
1193,270
1194,2360
1195,1530
1196,7260
1197,11560
1198,770
1199,1770
1200,24040
1201,180
1202,560
1203,1010
1204,6330
1205,1330
1206,5010
1207,1640
1208,2510
1209,5330
1210,6610
1211,1510
1212,4420
1213,300
1214,790
1215,8550
1216,7420
1217,360
1218,10360
1219,1660
1220,6370
1221,5300
1222,3410
1223,460
1224,18590
1225,6780
1226,490
1227,890
1228,1380
1229,350
1230,9480
1231,400
1232,17220
1233,2310
1234,600
1235,6960
1236,4520
1237,300
1238,740
1239,5200
1240,10710
1241,1590
1242,9320
1243,1400
1244,1470
1245,4760
1246,3360
1247,1800
1248,16930
1249,270
1250,3820
1251,2450
1252,1530
1253,1760
1254,10670
1255,1560
1256,2680
1257,1190
1258,3790
1259,590
1260,40940
1261,1240
1262,470
1263,990
1264,3590
1265,6660
1266,1930
1267,1350
1268,1420
1269,4420
1270,2890
1271,1700
1272,8550
1273,1630
1274,7590
1275,10820
1276,6820
1277,300
1278,4930
1279,380
1280,9920
1281,4600
1282,600
1283,300
1284,4680
1285,1230
1286,830
1287,12440
1288,11750
1289,330
1290,9300
1291,310
1292,7170
1293,1030
1294,850
1295,7070
1296,16005
1297,250
1298,3390
1299,1170
1300,14100
1301,320
1302,9830
1303,290
1304,2530
1305,10070
1306,590
1307,330
1308,5000
1309,7520
1310,2980
1311,5430
1312,5550
1313,1420
1314,5190
1315,1510
1316,6630
1317,1190
1318,810
1319,560
1320,33050
1321,200
1322,720
1323,9790
1324,1440
1325,3280
1326,10400
1327,290
1328,3970
1329,1090
1330,13370
1331,1305
1332,10530
1333,1460
1334,3200
1335,4220
1336,2380
1337,1530
1338,2230
1339,1500
1340,6260
1341,2630
1342,3380
1343,1940
1344,21590
1345,1230
1346,580
1347,1020
1348,1600
1349,1950
1350,18810
1351,1440
1352,6050
1353,4800
1354,590
1355,1480
1356,4730
1357,1670
1358,3210
1359,2890
1360,16710
1361,270
1362,2410
1363,1830
1364,7690
1365,20360
1366,680
1367,420
1368,18810
1369,570
1370,2730
1371,1040
1372,5530
1373,290
1374,2420
1375,6310
1376,5840
1377,6800
1378,3470
1379,1750
1380,19030
1381,160
1382,600
1383,1120
1384,2660
1385,1530
1386,22930
1387,1310
1388,1310
1389,1060
1390,3020
1391,1930
1392,12960
1393,1540
1394,3470
1395,10420
1396,1460
1397,1500
1398,2320
1399,450
1400,23600
1401,1060
1402,800
1403,1810
1404,19140
1405,1320
1406,3330
1407,5060
1408,8840
1409,310
1410,9130
1411,1510
1412,1320
1413,2490
1414,3240
1415,1560
1416,8130
1417,1460
1418,700
1419,5260
1420,6580
1421,3800
1422,5370
1423,370
1424,4390
1425,11220
1426,3560
1427,460
1428,21430
1429,380
1430,14100
1431,4420
1432,2280
1433,280
1434,2270
1435,6730
1436,1430
1437,1180
1438,860
1439,630
1440,35720
1441,1390
1442,3250
1443,5420
1444,3250
1445,2990
1446,2070
1447,300
1448,2900
1449,11910
1450,6680
1451,340
1452,10760
